title,company,salary,city,category,subcategory,minimumsalary,maximumsalary
RESEPŞN,AUSTIN HOTEL,400 - 500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,400,500
ПОМОЩНИК КОНДИТЕРА,United Coffee Beans,500 - 600 AZN,Bakı,Xidmət ,Restoran işi,500,600
FƏHLƏ,Food Packing LLC,400 - 500 AZN,Bakı,Xidmət ,Fəhlə,400,500
FƏHLƏ,BAKİNOX MMC,600 AZN,Bakı,Xidmət ,Fəhlə,600,
FLOXSO VƏ KƏSİM  MAŞINLARI ÜZRƏ OPERATOR KÖMƏKÇİSİ,TUNA QSC,500 - 600 AZN,Bakı,Xidmət ,Fəhlə,500,600
KURYER,"""Avrasiya"" Tərcümə Mərkəzi",300 - 400 AZN,Bakı,Xidmət ,Kuryer,300,400
TƏSƏRRÜFAT ÜZRƏ KÖMƏKÇİ,Parrotias MMC,400 - 500 AZN,Bakı,Xidmət ,Digər,400,500
BAĞBAN,Botelli,800 - 1000 AZN,Bakı,Xidmət ,Digər,800,1000
AŞPAZ,"""Chailab Group"" MMC",1200 AZN,Bakı,Xidmət ,Restoran işi,1200,
SÜRÜCÜ-EKSPEDİTOR,BAYCAN LTD,500 - 700 AZN,Bakı,Xidmət ,Sürücü,500,700
OFİSİANT,Papa John's Azerbaijan,300 - 400 AZN,Bakı,Xidmət ,Restoran işi,300,400
SÜRÜCÜ,West Product Marketing MMC,600 - 800 AZN,Bakı,Xidmət ,Sürücü,600,800
FƏHLƏ,XONÇA MMC,500 - 600 AZN,Bakı,Xidmət ,Fəhlə,500,600
TUR MENECERİ,MultiTravel,500 - 800 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,800
İNŞAAT FƏHLƏSİ,Mr.Fix tikinti kimyəviləri,500 - 600 AZN,Sumqayıt,Xidmət ,Fəhlə,500,600
KURYER ,Superfon,400 - 500 AZN,Bakı,Xidmət ,Kuryer,400,500
SÜRÜCÜ,Bayramli Group,600 AZN,Bakı,Xidmət ,Sürücü,600,
SÜRÜCÜ-TƏSLİMATÇI,Mars Overseas Baku LTD MMM,800 - 1100 AZN,Bakı,Xidmət ,Sürücü,800,1100
OFİSİANT,Pizza Locale Baku,400 - 600 AZN,Bakı,Xidmət ,Restoran işi,400,600
FƏHLƏ,Nurgul MMC,400 - 700 AZN,Xırdalan,Xidmət ,Fəhlə,400,700
RESTORAN MENECERİ,Pizza Mizza,1300 - 1700 AZN,Bakı,Xidmət ,Restoran işi,1300,1700
FƏHLƏ,Pizza Mizza,500 - 600 AZN,Bakı,Xidmət ,Fəhlə,500,600
SÜRÜCÜ,S.A,700 - 1000 AZN,Bakı,Xidmət ,Sürücü,700,1000
RESEPŞN,Resant Group,500 - 600 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,600
FƏHLƏ (PLASTİK BORU İSTEHSALI SEXİ),METAK,600 - 800 AZN,Bakı,Xidmət ,Fəhlə,600,800
SÜRÜCÜ,CUP CUP,600 - 800 AZN,Bakı,Xidmət ,Sürücü,600,800
RESEPŞN,Don Dar Hotel Baku,500 AZN,Bakı,Xidmət ,Turizm və mehmanxana işi,500,
NƏZARƏTÇİ,Yeni Həyat Şirkətlər Qrupu MMC,500 - 600 AZN,Bakı,Xidmət ,Mühafizə xidməti,500,600
DÖNƏR USTASI,OcakBaşı Restoran,1000 - 1200 AZN,Xırdalan,Xidmət ,Restoran işi,1000,1200
YÜK MAŞIN ÜZRƏ SÜRÜCÜ,Novator HRC,600 - 700 AZN,Bakı,Xidmət ,Sürücü,600,700
ŞÜŞƏ USTASI ,Glassman,500 - 700 AZN,Bakı,Xidmət ,Digər,500,700
TEXNİKİ SERVİS ÜZRƏ ANBARDAR,Mesa Group MMC,400 - 600 AZN,Gəncə,Xidmət ,Anbardar,400,600
FƏHLƏ,CasaMia,600 - 700 AZN,Sumqayıt,Xidmət ,Fəhlə,600,700
FƏHLƏ,NUR KAUÇUK MMC,500 - 600 AZN,Xırdalan,Xidmət ,Fəhlə,500,600
XADİMƏ,UNİSER GROUP MMC,500 AZN,Bakı,Xidmət ,Xadimə,500,
QAYNAQÇI,Aik,600 - 700 AZN,Bakı,Xidmət ,Digər,600,700
FƏHLƏ,AHK özəl tikinti şirkəti,600 - 700 AZN,Bakı,Xidmət ,Fəhlə,600,700
FƏHLƏ,Aik,400 - 500 AZN,Bakı,Xidmət ,Fəhlə,400,500
BARİSTA - KASSİR,CUP CUP,600 - 900 AZN,Bakı,Xidmət ,Digər,600,900
SÜRÜCÜ,"""BİBİT"" MMC",600 AZN,Bakı,Xidmət ,Sürücü,600,
